id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
04010103,04,01,01,03,7876,4170,5819,3706,2113,2057,100.0,52.94565769426105,73.88268156424581,47.054342305738956,26.828339258506855,26.11731843575419
04020204,04,02,02,04,187,65,151,122,29,36,100.0,34.75935828877005,80.74866310160428,65.24064171122996,15.508021390374333,19.25133689839572
04020205,04,02,02,05,1347,355,1123,992,131,224,100.0,26.354862657757984,83.37045285820341,73.64513734224202,9.725315515961395,16.629547141796586
04020206,04,02,02,06,2800,695,2370,2105,265,430,100.0,24.821428571428573,84.64285714285714,75.17857142857143,9.464285714285714,15.357142857142858
04020207,04,02,02,07,2558,734,2136,1824,312,422,100.0,28.694292415949963,83.5027365129007,71.30570758405004,12.197028928850665,16.497263487099296
04020208,04,02,02,08,2912,771,2492,2141,351,420,100.0,26.47664835164835,85.57692307692307,73.52335164835165,12.053571428571429,14.423076923076922
04020209,04,02,02,09,3195,1218,2270,1977,293,925,100.0,38.12206572769953,71.04851330203444,61.87793427230047,9.17057902973396,28.951486697965574
04020310,04,02,03,10,624,331,350,293,57,274,100.0,53.044871794871796,56.08974358974359,46.955128205128204,9.134615384615383,43.91025641025641
04020311,04,02,03,11,14969,4767,12071,10202,1869,2898,100.0,31.845814683679603,80.63998931124323,68.1541853163204,12.485803994922842,19.360010688756766
04020312,04,02,03,12,5498,1710,4422,3788,634,1076,100.0,31.102218988723173,80.4292469989087,68.89778101127682,11.531465987631865,19.570753001091308
04020313,04,02,03,13,7620,3023,5664,4597,1067,1956,100.0,39.671916010498684,74.33070866141732,60.328083989501316,14.002624671916012,25.669291338582678
04020314,04,02,03,14,8,8,0,0,0,8,100.0,100.0,0.0,0.0,0.0,100.0
04030415,04,03,04,15,2975,1534,1824,1441,383,1151,100.0,51.563025210084035,61.3109243697479,48.436974789915965,12.873949579831933,38.6890756302521
04030416,04,03,04,16,10570,5061,7724,5509,2215,2846,100.0,47.88079470198676,73.07473982970671,52.11920529801325,20.955534531693473,26.92526017029328
04030417,04,03,04,17,10947,4159,8429,6788,1641,2518,100.0,37.99214396638349,76.99826436466611,62.00785603361651,14.990408331049604,23.00173563533388
04030518,04,03,05,18,9473,4165,6996,5308,1688,2477,100.0,43.967064287976356,73.85200042225271,56.032935712023644,17.81906471022907,26.14799957774728
04030519,04,03,05,19,5825,2588,4252,3237,1015,1573,100.0,44.42918454935622,72.99570815450643,55.57081545064377,17.42489270386266,27.00429184549356
04030620,04,03,06,20,8778,3852,6520,4926,1594,2258,100.0,43.882433356117566,74.27660059239007,56.117566643882434,18.159033948507634,25.723399407609932
04030621,04,03,06,21,3008,1664,1977,1344,633,1031,100.0,55.319148936170215,65.7247340425532,44.680851063829785,21.043882978723406,34.27526595744681
04030622,04,03,06,22,10709,4921,7820,5788,2032,2889,100.0,45.95200298814082,73.02269119432253,54.04799701185918,18.97469418246335,26.97730880567747
04030623,04,03,06,23,5012,2775,3403,2237,1166,1609,100.0,55.36711891460495,67.89704708699122,44.632881085395056,23.26416600159617,32.10295291300878
04030724,04,03,07,24,6569,2406,5101,4163,938,1468,100.0,36.626579388034706,77.65261074745014,63.373420611965294,14.279190135484853,22.347389252549853
04030725,04,03,07,25,12287,4976,9017,7311,1706,3270,100.0,40.49808740945715,73.38650606331896,59.50191259054285,13.884593472776105,26.613493936681042
